20
0	2	1.0
0	3	1.0
0	6	2.0
0	7	2.0
1	8	2.0
1	9	2.0
2	3	3.0
2	5	4.0
2	6	4.0
2	11	5.0
3	1	1.0
3	4	3.0
3	6	4.0
3	7	4.0
3	8	4.0
3	9	4.0
3	13	2.0
3	14	2.0
4	1	1.0
4	9	4.0
4	10	4.0
4	15	1.0
4	16	1.0
5	6	6.0
5	11	7.0
5	12	1.0
6	7	1.0
6	12	6.0
6	13	1.0
7	13	1.0
7	14	1.0
8	9	1.0
8	14	1.0
9	10	2.0
9	14	1.0
9	15	1.0
9	16	1.0
9	18	1.0
10	15	1.0
11	12	1.0
12	2	5.0
12	13	1.0
12	17	3.0
13	8	1.0
13	14	5.0
13	19	2.0
14	15	2.0
14	18	1.0
15	16	1.0
15	18	3.0
16	10	2.0
17	13	1.0
17	18	1.0
17	19	1.0
18	19	1.0
19	14	2.0
-1

